Program started
Connected to remote API server
Number of objects in the scene: 26
currentTime = 1.001642, dt = 0.003214
currentTime = 1.003654, dt = 0.002012
currentTime = 1.005667, dt = 0.002012
currentTime = 1.007675, dt = 0.002009
currentTime = 1.011159, dt = 0.003483
currentTime = 1.013186, dt = 0.002028
currentTime = 1.015203, dt = 0.002017
currentTime = 1.017220, dt = 0.002017
currentTime = 1.019230, dt = 0.002010
currentTime = 1.021246, dt = 0.002016
currentTime = 1.023255, dt = 0.002009
currentTime = 1.025324, dt = 0.002069
currentTime = 1.027334, dt = 0.002011
currentTime = 1.029350, dt = 0.002016
currentTime = 1.031379, dt = 0.002029
currentTime = 1.033402, dt = 0.002023
currentTime = 1.036150, dt = 0.002748
currentTime = 1.038181, dt = 0.002031
currentTime = 1.040214, dt = 0.002034
currentTime = 1.042234, dt = 0.002020
currentTime = 1.044245, dt = 0.002010
currentTime = 1.046261, dt = 0.002016
currentTime = 1.048274, dt = 0.002013
currentTime = 1.051167, dt = 0.002893
currentTime = 1.053178, dt = 0.002011
currentTime = 1.055288, dt = 0.002110
currentTime = 1.057303, dt = 0.002015
currentTime = 1.059322, dt = 0.002018
currentTime = 1.061334, dt = 0.002012
currentTime = 1.063361, dt = 0.002027
currentTime = 1.066244, dt = 0.002883
currentTime = 1.068269, dt = 0.002025
currentTime = 1.070285, dt = 0.002016
currentTime = 1.072308, dt = 0.002024
currentTime = 1.074329, dt = 0.002021
currentTime = 1.077155, dt = 0.002826
currentTime = 1.080722, dt = 0.003567
currentTime = 1.082797, dt = 0.002075
currentTime = 1.084820, dt = 0.002023
currentTime = 1.087705, dt = 0.002884
currentTime = 1.089727, dt = 0.002023
currentTime = 1.091740, dt = 0.002012
currentTime = 1.093764, dt = 0.002024
currentTime = 1.095772, dt = 0.002008
currentTime = 1.097802, dt = 0.002030
currentTime = 1.099867, dt = 0.002065
currentTime = 1.101879, dt = 0.002012
currentTime = 1.103893, dt = 0.002014
currentTime = 1.105932, dt = 0.002038
currentTime = 1.107950, dt = 0.002018
currentTime = 1.110056, dt = 0.002106
